task_id,task_readable_name,tier,track,species,split_id,split_fold,model_id,model_readable_name,model_family,mode,calibration_method,intervention_id,seeds,auroc,auprc,accuracy,balanced_accuracy,mcc,f1,ece,brier,train_count,val_count,test_count,positive_count,negative_count,mean_abs_delta,flip_rate,positive_prob_drop,calibration_shift,sequence_length_summary,rc_mean_abs_delta,rc_flip_rate,rc_positive_prob_drop,rc_calibration_shift,mono_mean_abs_delta,mono_flip_rate,mono_positive_prob_drop,mono_calibration_shift,dinuc_mean_abs_delta,dinuc_flip_rate,dinuc_positive_prob_drop,dinuc_calibration_shift,motif_mean_abs_delta,motif_flip_rate,motif_positive_prob_drop,motif_calibration_shift,gc_only_auroc,gc_only_explainability_ratio,mono_retention,dinuc_retention,shortcut_score,task_label,model_label
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.6356744103495693,0.6314792386972754,0.5913932066781807,0.5913932066781807,0.184748813068417,0.5593667546174143,0.0341431960186504,0.2357786255194748,10000.0,2000.0,6948.0,3474.0,3474.0,,,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7339186999468708,1.154551273415702,-0.0,-0.0,0.4122807017543859,Enhancers (Cohn),CpG-only logistic regression
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,repeat_only,Repeat-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.532776006249567,0.52140112242657,0.5213010938399539,0.5213010938399539,0.0427094011913916,0.5376702807895468,0.0045908297367237,0.2492082859315183,10000.0,2000.0,6948.0,3474.0,3474.0,,,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7339186999468708,1.3775370724992502,-0.0,-0.0,0.4210526315789473,Enhancers (Cohn),Repeat-only logistic regression
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,kmer_logistic_regression,6-mer logistic regression,classical,frozen,none,standard,2,0.700194,0.7225657690232126,0.6525,0.6593264248704663,0.3186576156431533,0.6602554901679345,0.2857826502558501,0.3092504288842322,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,500,0.3707913085785532,0.378,0.0172717217792954,0.0105582427753119,0.4242434977687761,0.4345,-0.0796955816894356,0.082524954120737,0.4051801925094063,0.419,0.13848789357906,0.0711104638266946,0.0326902502943085,0.0375647668393782,0.0093316905693945,0.0052751492130012,0.7339186999468708,1.0481647942525512,0.0796955816894356,-0.13848789357906,0.7192982456140351,Enhancers (Cohn),6-mer logistic regression
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,small_cnn,CNN,cnn,full,none,standard,6,0.7535540000000001,0.7491350900292709,0.654,0.6845135290731146,0.3713990453992267,0.6656497864551556,0.0793757087886333,0.2086222937918012,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,500,0.0188364125788211,0.036,0.0013142824172973,-0.0012302174866199,0.059227667748928,0.1215,0.0077331066131591,-0.0043589839041233,0.0571020133793354,0.12,0.0144553780555725,-0.0129581188857555,0.0033524651080369,0.0071963154864709,-0.0017178654670715,0.0023626550714655,0.7339186999468708,0.973943075011042,-0.0077331066131591,-0.0144553780555725,0.3245614035087719,Enhancers (Cohn),CNN
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,small_cnn_rc_aug,RC-aug CNN,cnn,full,none,standard,6,0.7645774999999999,0.7558621804422925,0.6745,0.68566493955095,0.3726485749715121,0.671875,0.0708906665369868,0.2026313437309672,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,500,0.0141832903027534,0.031,0.0001065731048583,0.0005418918952346,0.0659988671541214,0.124,0.0030723810195922,0.0056424895748496,0.0613313354551792,0.1165,0.0171687602996826,-0.0103029819764196,0.0032925647683441,0.0092112838226827,-0.0017876029014587,-0.0013787073657457,0.7339186999468708,0.9599009910007432,-0.0030723810195922,-0.0171687602996826,0.3157894736842105,Enhancers (Cohn),RC-aug CNN
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,dnabert2,DNABERT-2,foundation_model,frozen,none,standard,2,0.829724,0.8212542019876681,0.736,0.752,0.5040493992618101,0.7502517623363545,0.0248308120776902,0.1684215524305007,2000.0,800.0,1000.0,500.0,500.0,,,,,500,0.0591436634907785,0.097,-0.003537693072833,0.0132064982909392,0.1908418012604889,0.341,-0.048888688524904,0.1085232303233046,0.1434052035970671,0.227,0.0233092158668266,0.0129624726783854,0.0076215427514516,0.012,-0.000519391118564,0.0024214942664918,0.7339186999468708,0.8845335315681729,0.048888688524904,-0.0233092158668266,0.543859649122807,Enhancers (Cohn),DNABERT-2
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,caduceus_ph,Caduceus-Ph,foundation_model,frozen,none,standard,1,0.7727349710937637,0.7660089018939559,0.6922855497985032,0.6922855497985032,0.3856526901106323,0.680322966507177,0.0342800785565275,0.1945990957555004,10000.0,2000.0,6948.0,3474.0,3474.0,,,,,500,0.0298684137850311,0.0533966609096142,-0.0007448365795929,-0.0047516505931889,0.1172241216754355,0.202216465169833,-0.1025229935421168,0.0862308207857427,0.0502382862352451,0.0932642487046632,-0.0205491437594516,0.0083241803034612,0.0025595110506287,0.0064766839378238,-0.0006529929125713,-0.0001902671620616,0.7339186999468708,0.949767678959902,0.1025229935421168,0.0205491437594516,0.6052631578947368,Enhancers (Cohn),Caduceus-Ph
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,nucleotide_transformer_v2,Nucleotide Transformer v2,foundation_model,frozen,none,standard,1,0.518186,0.5115652395865046,0.5025,0.5025,0.0050030653165472,0.5110565110565111,0.1638280235701642,0.2836005777416187,4000.0,800.0,2000.0,1000.0,1000.0,,,,,500,0.2277691517926419,0.507,-0.0009126958610226,-0.0258628261650334,0.2266236406493125,0.492,0.0170641230748194,0.0012637600180132,0.2264556579418642,0.505,-0.0129722851645666,-0.0220284064264632,0.0506976253145256,0.11,-0.0027119463482196,-0.0097282401878061,0.7339186999468708,1.416322903256496,-0.0170641230748194,0.0129722851645666,0.7105263157894738,Enhancers (Cohn),Nucleotide Transformer v2
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,gc_only,GC-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.6621940822250412,0.6341018855331718,0.6213109460768486,0.6213109460768486,0.2427308870360367,0.6155510391398413,0.0479150442144485,0.2341792451384895,10000.0,2000.0,30970.0,15485.0,15485.0,,,,,2-573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6621940822250412,1.0,-0.0,-0.0,0.5064102564102564,Enhancers (Ensembl),GC-only logistic regression
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.5634342462092901,0.5422514613060812,0.5402324830481111,0.5402324830481111,0.0817540416377299,0.4956253763593213,0.0116397698176557,0.247899312881476,10000.0,2000.0,30970.0,15485.0,15485.0,,,,,2-573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6621940822250412,1.1752819191949977,-0.0,-0.0,0.5192307692307693,Enhancers (Ensembl),CpG-only logistic regression
