task_id,task_label,external_family,model_id,model_label,condition_label,external_biological_reliability,external_reliability_risk,matched_negative_shift,core_mean_auroc,core_mean_shortcut_score,core_mean_rc_delta,core_mean_ece,core_matched_negative_shift,core_gc_bin_auroc_gap,configuration_label,model_family,external_AUROC,external_AUPRC,external_ECE,external_Brier,worst_GC_bin_AUROC,full_GenomeCF_profile_score,predicted_external_reliability,external_metric,source_file
gue_emp_h3k4me3,External histone mark (H3K4me3),Histone marks,small_cnn,CNN,Standard,0.3916666666666666,0.675925925925926,0.0055249174854307,0.76882725,0.4509484180536812,0.0411793540697544,0.061206236347556,0.0083796891723006,0.1201250804749815,CNN | Standard,CNN,0.5941000000000001,0.5740365843769899,0.020673930644989,0.249407649618683,0.4885017421602787,-0.5181043538242232,0.4616559531360944,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k4me3,External histone mark (H3K4me3),Histone marks,small_cnn_rc_aug,RC-aug CNN,Standard,0.5666666666666667,0.6314814814814814,-0.0119454636131809,0.8039419999999999,0.3773429299745089,0.038917607627809,0.0517154488125815,0.0240417894564205,0.1179073009657394,RC-aug CNN | Standard,CNN,0.594675,0.5954645059228609,0.0154970288276672,0.2499793447889805,0.5102813852813852,-0.5179486790078768,0.4618116279524408,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_0,External TF binding (human_tf_0),TF binding,caduceus_ph,Caduceus-Ph,Matched-negative head,0.2222222222222222,0.5555555555555556,-0.0936365273775217,0.8194124252604111,0.6885964912280701,0.0422797515022792,0.114775501007667,0.0585016480260885,0.1078033622448245,Caduceus-Ph | Matched-negative head,foundation model,0.716375,0.6741697246047149,0.1206743233084613,0.2393219804234135,0.7214052287581699,-0.5585247244465049,0.42123558251381266,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_0,External TF binding (human_tf_0),TF binding,caduceus_ph,Caduceus-Ph,Standard,0.3888888888888889,0.4382716049382716,-0.0644321325648416,0.7416918124042852,0.6424501424501425,0.0348315164735973,0.0396484782153252,0.0682948139121478,0.1078033622448245,Caduceus-Ph | Standard,foundation model,0.75815,0.7045996483309134,0.155375205106328,0.2316449329978136,0.7214052287581699,-0.6286426592394324,0.35111764772088516,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_0,External TF binding (human_tf_0),TF binding,caduceus_ph,Caduceus-Ph,Temperature-scaled,0.3055555555555556,0.5,-0.0262246397694524,0.8133026114109636,0.6403508771929824,0.0396011711240673,0.0340457959095675,0.0686169119019574,0.1078033622448245,Caduceus-Ph | Temperature-scaled,foundation model,0.75815,0.7045996483309134,0.1298231790769195,0.2215474247116369,0.7214052287581699,-0.5662181599499383,0.4135421470103793,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_0,External TF binding (human_tf_0),TF binding,dnabert2,DNABERT-2,Matched-negative head,0.8055555555555556,0.5308641975308642,-0.0557770172910662,0.8637522990613481,0.6885964912280701,0.0840472685721405,0.0925285787285418,0.0141730714848569,0.0912554010604467,DNABERT-2 | Matched-negative head,foundation model,0.824125,0.816597801249169,0.0929951414216153,0.1786743096997004,0.7606209150326797,-0.20807413686579368,0.7716861700945239,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_0,External TF binding (human_tf_0),TF binding,dnabert2,DNABERT-2,Standard,0.9305555555555556,0.6790123456790124,-0.0375528097982709,0.79375,0.6372207227470386,0.0806979403719271,0.0288679478520667,0.0129999514080891,0.0912554010604467,DNABERT-2 | Standard,foundation model,0.845525,0.8441467553330677,0.061062190267374,0.1654550490188756,0.7606209150326797,-0.23817350725074993,0.7415867997095676,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_0,External TF binding (human_tf_0),TF binding,dnabert2,DNABERT-2,Temperature-scaled,0.9305555555555556,0.6790123456790124,-0.0375528097982709,0.8732950269749769,0.5789473684210527,0.0774539567818146,0.019902367608167,0.0332784659097183,0.0912554010604467,DNABERT-2 | Temperature-scaled,foundation model,0.845525,0.8441467553330677,0.0674022591326061,0.1638419635414881,0.7606209150326797,-0.23645658271919567,0.7433037242411219,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_0,External TF binding (human_tf_0),TF binding,kmer_logistic_regression,6-mer logistic regression,Standard,0.4722222222222222,0.5308641975308643,-0.0215908501440921,0.7462655,0.6459551656920078,0.3394389041207518,0.2345065281072556,-0.0068479613695805,0.083379100691961,6-mer logistic regression | Standard,k-mer baseline,0.7819250000000001,0.7421174211807912,0.1512009370929217,0.2134851056258912,0.7416897506925207,-0.27553740471650534,0.7042229022438122,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_0,External TF binding (human_tf_0),TF binding,small_cnn,CNN,Standard,0.2777777777777778,0.4691358024691357,-0.1446587896253603,0.76882725,0.4509484180536812,0.0411793540697544,0.061206236347556,0.0083796891723006,0.1201250804749815,CNN | Standard,CNN,0.7282,0.6893676159750408,0.1426299969479441,0.2292635236613008,0.68,-0.5181043538242232,0.4616559531360944,external_biological_reliability,results/release/external_transfer_prediction.csv
