claim_id,paper_location,claim_text,source_artifact,script,expected,observed,tolerance,validated,notes
abstract_promoter_rcaug_rc_instability,Abstract; Results/Held-out AUROC,RC instability = 0.017,results/publication/table2_main_results.csv,src/generate_release_bundle.py,0.01655,0.0165502354502677,0.001,True,
cohn_dnabert_negative_mono_drop,Abstract; Results/Held-out AUROC,Mononucleotide shuffle drop = -0.049,results/publication/table2_main_results.csv,src/generate_release_bundle.py,-0.048889,-0.048888688524904,0.001,True,
promoter_caduceus_vs_dnabert_rc_delta_gain,Results/Foundation models,RC instability improvement = 0.037,results/publication/table2_main_results.csv,src/generate_release_bundle.py,0.037309,0.0373087023776509,0.001,True,
promoter_gc_only_matched_negative_drop,Abstract; Results/Matched-negative,Matched-negative AUROC drop = 0.084,results/release/matched_negative_model_summary.csv,src/generate_release_bundle.py,0.084061,0.0840613227811994,0.001,True,
promoter_rcaug_temperature_ece_reduction,Abstract; Results/Matched-negative and GC-bin analyses,ECE reduction = 0.031,results/release/mitigation_summary.csv,src/generate_release_bundle.py,0.031445,0.0314445097261102,0.001,True,
external_auroc_only_r2,Abstract; Results/External validation,R^2 = 0.062,results/release/external_transfer_stats.json,src/generate_release_bundle.py,0.061707,0.0617068412156024,0.001,True,
external_shortcut_only_r2,Abstract; Results/External validation,R^2 = 0.023,results/release/external_transfer_stats.json,src/generate_release_bundle.py,0.022972,0.0229719649137999,0.001,True,
external_full_profile_r2,Abstract; Results/External validation,R^2 = 0.383,results/release/external_transfer_stats.json,src/generate_release_bundle.py,0.382845,0.3828453974599544,0.001,True,
external_full_profile_advantage,Abstract; Results/External validation,Delta R^2 over AUROC-only = 0.321,results/release/external_transfer_stats.json,src/generate_release_bundle.py,0.321139,0.321138556244352,0.001,True,
case_a_bcl11a_auprc_gain,Abstract; Results/Case study,AUPRC gain = 0.069,results/release/biological_case_study.csv,src/generate_release_bundle.py,0.069199,0.0691992724913194,0.001,True,
case_a_bcl11a_topk_gain,Abstract; Results/Case study,Top-k enrichment gain = 0.823,results/release/biological_case_study.csv,src/generate_release_bundle.py,0.822581,0.8225806451612905,0.001,True,
case_b_myc_dnabert_topk_advantage,Abstract; Results/Case study,Top-k enrichment advantage = 0.430,results/release/biological_case_study.csv,src/generate_release_bundle.py,0.429787,0.4297872340425526,0.001,True,
synthetic_gc_conflict_dnabert_shortcut_following,Abstract; Results/GenomeCF-Synth,Shortcut-following rate = 1.000,results/release/synthetic_extended_summary.csv,src/generate_release_bundle.py,1.0,1.0,0.001,True,
latex::genomecf_report.tex::includegraphics::../figures/genomecf_tradeoff_publication.png,genomecf_report.tex,includegraphics{../figures/genomecf_tradeoff_publication.png},../figures/genomecf_tradeoff_publication.png,paper,exists,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\paper\..\figures\genomecf_tradeoff_publication.png,,True,
