task_id,split_id,model_id,task_label,model_label,auroc,ece,brier,mono_positive_prob_drop,dinuc_positive_prob_drop,gc_only_explainability_ratio,gc_only_auroc_official,gc_only_auroc_matched
human_enhancers_cohn,matched_test,small_cnn_rc_aug,Enhancers (Cohn),RC-aug CNN,0.6960452054698972,0.0805212842399963,0.2170083911056838,0.0156245827674865,0.013296902179718,0.9184537417334872,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,small_cnn_rc_aug,Enhancers (Cohn),RC-aug CNN,0.7645774999999999,0.0708906665369868,0.2026313437309672,0.0030723810195922,0.0171687602996826,0.9599009910007432,0.7339186999468708,0.6392853233794811
human_enhancers_ensembl,matched_test,caduceus_ph,Enhancers (Ensembl),Caduceus-Ph,0.651955332291049,0.1030044723596689,0.2287701178758195,-0.0319772709983091,-0.0098021732581925,0.8838733613276717,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,caduceus_ph,Enhancers (Ensembl),Caduceus-Ph,0.717767235241454,0.0432965822595281,0.2168543161810468,-0.0316648146657818,-0.0094850690250444,0.9225749654096174,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,dnabert2,Enhancers (Ensembl),DNABERT-2,0.7737994844343186,0.0758359340748385,0.1878472687933616,0.0915853242569819,0.0344420638140309,0.7446967367894406,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,dnabert2,Enhancers (Ensembl),DNABERT-2,0.775216,0.0271078423685805,0.1936904636088807,0.0428744396754445,0.0094690798395876,0.8542059016132809,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,gc_only,Enhancers (Ensembl),GC-only logistic regression,0.5762459509875886,0.1082923933034039,0.245467903519882,0.0,0.0,1.0,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,gc_only,Enhancers (Ensembl),GC-only logistic regression,0.6621940822250412,0.0479150442144485,0.2341792451384895,0.0,0.0,1.0,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,kmer_logistic_regression,Enhancers (Ensembl),6-mer logistic regression,0.7593236576453896,0.1962377893145113,0.2370312764374812,0.2089985176153785,0.2530326547895289,0.7588937144069601,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,kmer_logistic_regression,Enhancers (Ensembl),6-mer logistic regression,0.735919,0.2457055763718007,0.2734987871521236,0.2028774627488171,0.2160423827040129,0.899819249435116,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,small_cnn,Enhancers (Ensembl),CNN,0.8639492309933446,0.0658570079464245,0.1501667934035749,0.3755265176296234,0.1556836366653442,0.666990524807849,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,small_cnn,Enhancers (Ensembl),CNN,0.838548,0.0795540403276681,0.1719178157550824,0.1784351468086242,0.0648070573806762,0.7896913262270511,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,small_cnn_rc_aug,Enhancers (Ensembl),RC-aug CNN,0.8699805307143664,0.0943775647410921,0.1529730330759661,0.3657114505767822,0.1686581373214721,0.662366490563204,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,small_cnn_rc_aug,Enhancers (Ensembl),RC-aug CNN,0.8839299999999999,0.0399395995624363,0.1393566969178189,0.3199376463890075,0.1265183091163635,0.7491476499553599,0.6621940822250412,0.5762459509875886
human_nontata_promoters,matched_test,caduceus_ph,Promoters,Caduceus-Ph,0.7930966698713839,0.1034601828821221,0.1782318953243604,-0.0613841856528585,0.0017935210177151,0.8975622675170934,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,caduceus_ph,Promoters,Caduceus-Ph,0.8528062767459534,0.0244592582419492,0.1538127081494769,-0.0604816577373737,0.0015758352155724,0.9332892942441527,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,dnabert2,Promoters,DNABERT-2,0.8969018682985945,0.0800153009605318,0.1273694035889256,-0.0386095512852275,0.0214562803830032,0.7936806361217505,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,dnabert2,Promoters,DNABERT-2,0.887888,0.0420015626662993,0.1279405383264637,-0.0538831078698363,0.0038541693706631,0.8964137009974394,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,gc_only,Promoters,GC-only logistic regression,0.711853645370015,0.1219092582164688,0.2097392941292906,0.0,0.0,1.0,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,gc_only,Promoters,GC-only logistic regression,0.7959149681512145,0.0468308784576099,0.184770311891784,0.0,0.0,1.0,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,kmer_logistic_regression,Promoters,6-mer logistic regression,0.9114448318820636,0.1132410287033531,0.1309519108164429,-0.0075775025331438,0.0578999551199419,0.781016711565627,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,kmer_logistic_regression,Promoters,6-mer logistic regression,0.8984909999999999,0.1102176388215763,0.133432542662848,-0.0026594560109637,0.0575635769009338,0.8858352149895933,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,small_cnn,Promoters,CNN,0.8731631457185094,0.1283946448606528,0.1575190505892078,-0.0590898990631103,0.0417549014091491,0.8152584644239012,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,small_cnn,Promoters,CNN,0.842903,0.0228868810981512,0.1519707324290783,-0.0022913217544555,0.0464639663696289,0.9442545205690508,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,small_cnn_rc_aug,Promoters,RC-aug CNN,0.8740163954464744,0.0871857975770044,0.1464505511844472,-0.0680538415908813,0.0305289030075073,0.8144625765359681,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,small_cnn_rc_aug,Promoters,RC-aug CNN,0.8636599999999999,0.0440954817906022,0.1440133262069258,-0.0348603129386901,0.0378893613815307,0.9215605309395072,0.7959149681512145,0.711853645370015
