task_id,model_id,calibration_method,intervention_id,auroc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,motif_positive_prob_drop,task_label,model_label,condition,matched_auroc,matched_ece,matched_brier
human_enhancers_ensembl,small_cnn,none,standard,0.8813083374924372,0.0527439798164991,0.1442527707458303,0.1014150455594062,0.3898816108703613,0.1748238801956176,-0.0010881423950195,Enhancers (Ensembl),CNN,standard,0.8639492309933446,0.0658570079464245,0.1501667934035749
human_enhancers_ensembl,small_cnn_rc_aug,none,gc_balanced,0.8861552478890223,0.0466282513778095,0.1396678199566275,0.0919149294495582,0.3577423989772796,0.1657282710075378,-0.0008595585823059,Enhancers (Ensembl),RC-aug CNN,gc_balanced,,,
human_enhancers_ensembl,small_cnn_rc_aug,none,matched_negative_retraining,0.8743075621110517,0.0983810662577325,0.1573149103927001,0.0770494788885116,0.3360629379749298,0.1211573481559753,-0.0004105567932128,Enhancers (Ensembl),RC-aug CNN,matched_negative_retraining,0.8637885393853406,0.0543022257126875,0.1469408199827885
human_enhancers_ensembl,small_cnn_rc_aug,none,standard,0.8873414740211788,0.0341607557387747,0.1376008266144307,0.0875109136104583,0.365414559841156,0.172886312007904,-0.0006323456764221,Enhancers (Ensembl),RC-aug CNN,standard,0.8699805307143664,0.0943775647410921,0.1529730330759661
human_nontata_promoters,caduceus_ph,none,matched_negative_retraining,0.862033842128518,0.1400642196733183,0.1746415730182761,0.0479880202772168,-0.0489025315025096,-0.0004757171819097,0.0020321377007908,Promoters,Caduceus-Ph,matched_negative_retraining,0.8111826504225587,0.0456140926467831,0.1568831798165981
human_nontata_promoters,caduceus_ph,none,standard,0.8528062767459534,0.0244592582419492,0.1538127081494769,0.0404262294153215,-0.0604816577373737,0.0015758352155724,0.0025255519835335,Promoters,Caduceus-Ph,standard,0.7930966698713839,0.1034601828821221,0.1782318953243604
human_nontata_promoters,caduceus_ph,temperature,standard,0.8525102019596554,0.0311960167019789,0.1548415216029473,0.0479415073299704,-0.0675967982995252,0.0021504159231521,0.0025766440361927,Promoters,Caduceus-Ph,temperature_scaled,0.7930860928077463,0.0983859164567534,0.1840378787846434
human_nontata_promoters,dnabert2,none,matched_negative_retraining,0.9076700114621544,0.1122251483804573,0.1371817169816064,0.0982339677964212,-0.0491709943707058,0.0125029636229913,0.0029550902538928,Promoters,DNABERT-2,matched_negative_retraining,0.910408878347304,0.0273012205049046,0.111240349002605
human_nontata_promoters,dnabert2,none,standard,0.9125409999999998,0.0392262811798141,0.1105972206908814,0.0818091300277182,-0.0365259862505489,0.0177622250859168,0.0021657353340371,Promoters,DNABERT-2,standard,0.8969018682985945,0.0800153009605318,0.1273694035889256
human_nontata_promoters,dnabert2,temperature,standard,0.9133644374863084,0.0203414589323098,0.1133926146655528,0.0896644314733192,-0.0491874475515585,0.0205672666512506,0.002993432564442,Promoters,DNABERT-2,temperature_scaled,0.8969017685149753,0.0810590060287574,0.1297000707309049
human_nontata_promoters,small_cnn,none,gc_balanced,0.8737899999999998,0.1316369264051318,0.1632939022922205,0.0636902824044227,0.0282326936721801,0.0576817989349365,0.0073642134666442,Promoters,CNN,gc_balanced,,,
human_nontata_promoters,small_cnn,none,matched_negative_retraining,0.871173212394143,0.0674970918309247,0.1415293764728329,0.0920092985033989,-0.0373681783676147,0.0524963736534118,0.0031840205192565,Promoters,CNN,matched_negative_retraining,0.8536837867085225,0.0123300584510444,0.1397256824417315
human_nontata_promoters,small_cnn,none,standard,0.8914828115842595,0.024325025384804,0.1291793261704815,0.0814330503344535,-0.0340018272399902,0.0491634607315063,0.003511905670166,Promoters,CNN,standard,0.8731631457185094,0.1283946448606528,0.1575190505892078
human_nontata_promoters,small_cnn,temperature,standard,0.8750859999999999,0.0390368657708168,0.1354815835285256,0.0652493014931678,0.0001285672187805,0.0437431931495666,0.0036099553108215,Promoters,CNN,temperature_scaled,,,
human_nontata_promoters,small_cnn_rc_aug,none,gc_balanced,0.901146,0.0404632883146405,0.1172323904976208,0.0564939603209495,-0.0520316958427429,0.0385830998420715,0.0031901001930236,Promoters,RC-aug CNN,gc_balanced,,,
human_nontata_promoters,small_cnn_rc_aug,none,matched_negative_retraining,0.8815732961683902,0.0776776233793149,0.1385792647318938,0.046235479414463,-0.0618482232093811,0.0451120734214782,0.0042288899421691,Promoters,RC-aug CNN,matched_negative_retraining,0.8930879388047019,0.0486678545407978,0.1244085915758838
human_nontata_promoters,small_cnn_rc_aug,none,standard,0.9014160366927252,0.061482461035344,0.1244126061041274,0.0500921346247196,-0.0656256675720214,0.0284047722816467,0.0048051476478576,Promoters,RC-aug CNN,standard,0.8740163954464744,0.0871857975770044,0.1464505511844472
human_nontata_promoters,small_cnn_rc_aug,temperature,standard,0.8974350000000001,0.0300379513092338,0.1190559284519117,0.0625854432582855,-0.0329140424728393,0.0416962504386901,0.0048252940177917,Promoters,RC-aug CNN,temperature_scaled,,,
