task_id,split_id,model_id,calibration_method,intervention_id,auroc,motif_positive_prob_drop,mono_positive_prob_drop,dinuc_positive_prob_drop,task_label,model_label
human_enhancers_ensembl,official,small_cnn_rc_aug,none,standard,0.8839299999999999,-0.0006323456764221,0.3199376463890075,0.1265183091163635,Enhancers (Ensembl),RC-aug CNN
human_nontata_promoters,matched_test,caduceus_ph,none,matched_negative_retraining,0.8111826504225587,0.0020040898980389,-0.0491699507865045,-0.0002974941419557,Promoters,Caduceus-Ph
human_nontata_promoters,matched_test,caduceus_ph,none,standard,0.7930966698713839,0.0026921852591411,-0.0613841856528585,0.0017935210177151,Promoters,Caduceus-Ph
human_nontata_promoters,matched_test,caduceus_ph,temperature,standard,0.7930860928077463,0.0025343105909684,-0.0682542438414669,0.002395040034952,Promoters,Caduceus-Ph
human_nontata_promoters,matched_test,dnabert2,none,matched_negative_retraining,0.910408878347304,0.0027240861565621,-0.0500031679933302,0.0113646916770383,Promoters,DNABERT-2
human_nontata_promoters,matched_test,dnabert2,none,standard,0.8969018682985945,0.0028753537402622,-0.0386095512852275,0.0214562803830032,Promoters,DNABERT-2
human_nontata_promoters,matched_test,dnabert2,temperature,standard,0.8969017685149753,0.0027224467717418,-0.0499923255786466,0.0188723860251538,Promoters,DNABERT-2
human_nontata_promoters,matched_test,gc_only,none,standard,0.711853645370015,0.0,0.0,0.0,Promoters,GC-only logistic regression
human_nontata_promoters,matched_test,kmer_logistic_regression,none,standard,0.9114448318820636,0.0080909369508855,-0.0075775025331438,0.0578999551199419,Promoters,6-mer logistic regression
human_nontata_promoters,matched_test,small_cnn,none,matched_negative_retraining,0.8536837867085225,0.002221941947937,-0.0613090991973876,0.0336314439773559,Promoters,CNN
human_nontata_promoters,matched_test,small_cnn,none,standard,0.8731631457185094,0.0043909549713134,-0.0590898990631103,0.0417549014091491,Promoters,CNN
human_nontata_promoters,matched_test,small_cnn_rc_aug,none,matched_negative_retraining,0.8930879388047019,0.0029497742652893,-0.0608030557632446,0.024464726448059,Promoters,RC-aug CNN
human_nontata_promoters,matched_test,small_cnn_rc_aug,none,standard,0.8740163954464744,0.0035033226013183,-0.0680538415908813,0.0305289030075073,Promoters,RC-aug CNN
human_nontata_promoters,official,caduceus_ph,none,matched_negative_retraining,0.862033842128518,0.0020321377007908,-0.0489025315025096,-0.0004757171819097,Promoters,Caduceus-Ph
human_nontata_promoters,official,caduceus_ph,none,standard,0.8528062767459534,0.0025255519835335,-0.0604816577373737,0.0015758352155724,Promoters,Caduceus-Ph
human_nontata_promoters,official,caduceus_ph,temperature,standard,0.8525102019596554,0.0025766440361927,-0.0675967982995252,0.0021504159231521,Promoters,Caduceus-Ph
human_nontata_promoters,official,cpg_only,none,standard,0.843540800552831,0.0,0.0,0.0,Promoters,CpG-only logistic regression
human_nontata_promoters,official,dnabert2,none,matched_negative_retraining,0.9076700114621544,0.0029550902538928,-0.0491709943707058,0.0125029636229913,Promoters,DNABERT-2
human_nontata_promoters,official,dnabert2,none,standard,0.887888,0.0021657353340371,-0.0538831078698363,0.0038541693706631,Promoters,DNABERT-2
human_nontata_promoters,official,dnabert2,temperature,standard,0.9133644374863084,0.002993432564442,-0.0491874475515585,0.0205672666512506,Promoters,DNABERT-2
human_nontata_promoters,official,gc_only,none,standard,0.7959149681512145,0.0,0.0,0.0,Promoters,GC-only logistic regression
human_nontata_promoters,official,kmer_logistic_regression,none,standard,0.8984909999999999,0.0082361993033196,-0.0026594560109637,0.0575635769009338,Promoters,6-mer logistic regression
