dataset,split_scheme,model_family,seed,auroc,accuracy,ece,brier,auroc_ci_low,auroc_ci_high,reverse_complement_mean_abs_delta,reverse_complement_flip_rate,reverse_complement_positive_prob_drop,reverse_complement_ece,reverse_complement_brier,reverse_complement_mean_abs_delta_ci_low,reverse_complement_mean_abs_delta_ci_high,mono_shuffle_mean_abs_delta,mono_shuffle_flip_rate,mono_shuffle_positive_prob_drop,mono_shuffle_ece,mono_shuffle_brier,mono_shuffle_mean_abs_delta_ci_low,mono_shuffle_mean_abs_delta_ci_high,dinuc_shuffle_mean_abs_delta,dinuc_shuffle_flip_rate,dinuc_shuffle_positive_prob_drop,dinuc_shuffle_ece,dinuc_shuffle_brier,dinuc_shuffle_mean_abs_delta_ci_low,dinuc_shuffle_mean_abs_delta_ci_high
human_enhancers_ensembl,official,small_cnn,23,0.85571,0.753,0.11616354132443667,0.1712722362583174,0.8408701306194432,0.8728614250137275,0.08591480553150177,0.097,0.0026859045028686523,0.1160341758467257,0.17290237805368197,0.08211860712617636,0.08888581767678261,0.2783282399177551,0.3735,0.259718120098114,0.1517036771476269,0.2687161810320364,0.268370471149683,0.2877297878265381,0.18616366386413574,0.2415,0.09421098232269287,0.09883125800639392,0.2142165961875619,0.17771152034401894,0.1929434012621641
human_enhancers_ensembl,official,small_cnn,37,0.741835,0.672,0.04838980114087462,0.20814355735403187,0.7219123083459652,0.765588894757494,0.09910081326961517,0.172,-0.003755331039428711,0.0416123533844948,0.20661194949226888,0.09542697761207819,0.10262734964489936,0.11036578565835953,0.1935,0.05424308776855469,0.0899896544665098,0.23959356140419727,0.10617870073765516,0.11514612585306168,0.10069350898265839,0.185,0.011725664138793945,0.05403354317694903,0.22829326221417276,0.09606520477682352,0.10550918653607369
human_enhancers_ensembl,official,small_cnn,49,0.8031159999999999,0.715,0.06568722237646578,0.18596536054669174,0.784346302215849,0.8221705724428211,0.07946696132421494,0.1235,-0.0020592212677001953,0.06691827233135701,0.18785783362799988,0.07691785767674446,0.08247622549533844,0.17853957414627075,0.3305,0.15025073289871216,0.08713908085599541,0.2423086345229878,0.17304092571139335,0.18420596309006215,0.14095856249332428,0.2505,0.06428396701812744,0.04547740106657147,0.21562969960635733,0.13561465442180634,0.14575533606112004
human_enhancers_ensembl,official,small_cnn,61,0.810695,0.733,0.023687989491969343,0.17785326726091974,0.7922695463378708,0.8329262413787586,0.19919557869434357,0.2935,0.004594743251800537,0.024835646882653252,0.1766509674616548,0.19187534749507903,0.20680287182331086,0.23978954553604126,0.386,0.23219922184944153,0.18098444575816391,0.28070250231015453,0.2318187616765499,0.2481273464858532,0.1498885452747345,0.251,0.09261155128479004,0.07939567852020263,0.21888340248124108,0.14393445067107677,0.15577497147023678
human_enhancers_ensembl,official,small_cnn_rc_aug,11,0.8702700000000001,0.7895,0.039636336013674736,0.14815884266224744,0.8570619371510186,0.8866772799409948,0.11162501573562622,0.1325,0.006524205207824707,0.037553463548421845,0.14886985956468246,0.10625761076807975,0.11567321699112654,0.30593523383140564,0.433,0.309699684381485,0.1896700099892914,0.28626468386231285,0.29522854536771775,0.316144148260355,0.1902884691953659,0.248,0.10390692949295044,0.06696405992470682,0.20465611509276638,0.18166751451790333,0.19924977533519267
human_enhancers_ensembl,official,small_cnn_rc_aug,23,0.8818320000000002,0.79,0.0737552784215659,0.1464257394989139,0.8662857535172703,0.8992023807416536,0.07022546976804733,0.081,0.0016127228736877441,0.0751889055967331,0.14866999779325266,0.06691318023949862,0.07392264697700739,0.32294100522994995,0.426,0.332943320274353,0.19492550132423636,0.2903763435975155,0.3127651482820511,0.334148720651865,0.18479706346988678,0.2285,0.1271674633026123,0.0784868353996426,0.20254762947006952,0.1766573369503021,0.1919195719063282
human_enhancers_ensembl,official,small_cnn_rc_aug,37,0.828672,0.74,0.026003088891506185,0.16959471715021993,0.8097807936761202,0.843152106104155,0.15417055785655975,0.206,0.000978708267211914,0.02371174797601999,0.16626595125839186,0.14827590435743332,0.1594322260469198,0.24663406610488892,0.3635,0.2375929057598114,0.17341857671737673,0.27423810305237306,0.23760443106293677,0.2545114912092686,0.1810876876115799,0.269,0.08820855617523193,0.0690640390366316,0.21539561011276398,0.17389891743659974,0.18915923051536082
human_enhancers_ensembl,official,small_cnn_rc_aug,49,0.8829069999999999,0.8015,0.022637863568961622,0.13814071643131132,0.8682672555305985,0.8966369388160983,0.07677081227302551,0.086,0.0036351680755615234,0.015540561340749255,0.14009696392425333,0.07342287674546241,0.08011552840471269,0.3168797492980957,0.43,0.3574954867362976,0.22756205154955392,0.3051672028589335,0.3068876460194588,0.3292775698006153,0.19817127287387848,0.2685,0.16693925857543945,0.10792395600862802,0.21520072968700749,0.19026473648846148,0.20637400895357133
human_enhancers_ensembl,official,small_cnn_rc_aug,61,0.878342,0.799,0.01385091763548554,0.141093755070829,0.8626711825546471,0.8945890487616746,0.08853746205568314,0.095,0.0012990832328796387,0.01258609084784984,0.1428697647754182,0.08444340899586678,0.09223394319415093,0.3181535601615906,0.4375,0.361956924200058,0.23870038276910782,0.3120158451190651,0.3073444224894047,0.32792634293437006,0.19567006826400757,0.258,0.14636939764022827,0.09833834427036346,0.2097041322955736,0.18748660422861577,0.20502512939274312
human_ocr_ensembl,official,small_cnn,11,0.62702,0.584,0.05234869663417341,0.2405268481687205,0.6029789247565113,0.6519634709404355,0.03495754301548004,0.1085,-0.001012265682220459,0.05174180470407007,0.23981057948781515,0.03347608838230372,0.03671979811042547,0.06821156293153763,0.26,-0.007841169834136963,0.07552290725708008,0.25427900841216333,0.0650154173374176,0.07162339016795159,0.06700284779071808,0.231,-0.02580249309539795,0.08671847261488438,0.25129514760378385,0.06427097972482443,0.06971402242779733
human_ocr_ensembl,official,small_cnn,23,0.6347809999999999,0.561,0.08159495897591118,0.24522866863941392,0.6140955613258058,0.6558101223120658,0.03445345163345337,0.0995,-0.0010985136032104492,0.08094936625659466,0.24485756019314373,0.033102867938578126,0.03602398531511426,0.05643174797296524,0.1815,-0.006698191165924072,0.09893115270137783,0.2574124274132102,0.05419344380497933,0.05919027663767338,0.0516616515815258,0.1705,-0.013406455516815186,0.10560403367877004,0.25831872517341015,0.04969728197902441,0.054036765545606616
human_ocr_ensembl,official,small_cnn,37,0.631,0.5905,0.04516212245821954,0.23929684017970676,0.6065223398248375,0.6539138080491346,0.021221239119768143,0.073,-0.00026494264602661133,0.046273303240537626,0.23930397071115328,0.020425035478547217,0.022070839069783688,0.06211182475090027,0.2455,0.011431992053985596,0.04754911252856256,0.24950759653169355,0.05973562803119421,0.06452772971242667,0.05863029509782791,0.228,-0.015250146389007568,0.0701884248554707,0.2494428356278453,0.05570457559078932,0.060947464499622586
human_ocr_ensembl,official,small_cnn,49,0.6080565,0.5,0.020529091358184814,0.25012404189644744,0.5806423724992981,0.6265502239025993,0.0008100456325337291,0.0,-1.3709068298339844e-05,0.020525038242340088,0.2501059947569146,0.0007795307872584089,0.0008361576677998528,0.0009890221990644932,0.0,-0.00020450353622436523,0.020872533321380615,0.25027677109738466,0.0009469501645071433,0.0010212322580628098,0.0009400268900208175,0.0,-0.00028783082962036133,0.02091008424758911,0.25023274946677104,0.0009106532175792381,0.000975190410099458
human_ocr_ensembl,official,small_cnn,61,0.63646,0.5155,0.11871957106888296,0.25443602146994126,0.6149153563027051,0.6583413372924473,0.02191953919827938,0.0245,0.0004063844680786133,0.11761760234832763,0.2546742982458323,0.02113156341947615,0.022724066348746418,0.040701378136873245,0.052,0.018633782863616943,0.11147773626446719,0.2588516674881768,0.03930129390209913,0.04213428096845746,0.03595476597547531,0.0445,0.0024669766426086426,0.12219896274805071,0.2613013296006216,0.03479544222354889,0.03708337116986513
human_ocr_ensembl,official,small_cnn_rc_aug,11,0.6818979999999999,0.603,0.0884533564299345,0.23301992077910394,0.6580476725291995,0.7067961633237848,0.08064857125282288,0.15,0.002959012985229492,0.08137989336252213,0.234500289860559,0.07784935235977172,0.08390697706490755,0.11132049560546875,0.251,0.02273726463317871,0.09831715263426305,0.2607045530381923,0.10730039812624455,0.11519496161490679,0.09965987503528595,0.22,0.00036513805389404297,0.10729909566044807,0.2567061568772252,0.0960355594754219,0.10390649605542421
human_ocr_ensembl,official,small_cnn_rc_aug,23,0.6852929999999999,0.626,0.0564125258475542,0.22783232572654044,0.6633726883726885,0.7078489006130302,0.07027062773704529,0.1995,0.001072704792022705,0.05740032444149256,0.22844303908296393,0.06758776567876339,0.07244210317730904,0.11604577302932739,0.3555,0.054528653621673584,0.05174523919820786,0.2515183570261041,0.1123097401112318,0.1200228463858366,0.10690218210220337,0.306,0.010326027870178223,0.07140697913616893,0.24987950812920376,0.10346760638058186,0.11083855517208577
human_ocr_ensembl,official,small_cnn_rc_aug,37,0.6800679999999999,0.6225,0.06659392157197,0.2301400499561783,0.6594306344871671,0.7028187478650099,0.05882687494158745,0.116,0.0010638236999511719,0.06878084699809552,0.23098985507091896,0.05685394825413823,0.061336047295480964,0.16754743456840515,0.4255,0.12874767184257507,0.07364802569150926,0.25568180221840386,0.16155234761536122,0.1723098497837782,0.1340760439634323,0.2745,0.011253058910369873,0.09439252865314483,0.2554441567901033,0.12863769344985485,0.13956057094037533
human_ocr_ensembl,official,small_cnn_rc_aug,49,0.686169,0.617,0.05401184556633234,0.22647362764396295,0.6639456719889156,0.7077784194606023,0.07804100960493088,0.249,-0.00032770633697509766,0.044807004109024995,0.22680584254450795,0.07566719762980938,0.08082595504820347,0.1214803159236908,0.4105,0.04259809851646423,0.07263856063783167,0.25412378711145217,0.11769702956080437,0.12539446726441383,0.10976538062095642,0.3505,0.009556680917739868,0.0361009236127138,0.24673210328859396,0.10620247330516577,0.1135422432795167
