tier,track,species,task_id,task_label,model_id,model_label,model_family,auroc,auprc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,gc_only_auroc,gc_only_explainability_ratio,shortcut_score,worst_gc_bin_auroc,gc_bin_auroc_gap,matched_negative_gc_only_auroc_drop
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,0.5634342462092901,0.5422514613060812,0.0116397698176557,0.247899312881476,0.0,0.0,0.0,0.6621940822250412,1.1752819191949977,0.5192307692307693,,,
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),dnabert2,DNABERT-2,foundation_model,0.775216,0.7477479533499024,0.0271078423685805,0.1936904636088807,0.0962735484349267,0.0428744396754445,0.0094690798395876,0.6621940822250412,0.8542059016132809,0.6794871794871796,0.7606148084463563,0.0273116429082692,0.0859481312374526
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),gc_only,GC-only logistic regression,diagnostic_logistic_regression,0.6621940822250412,0.6341018855331718,0.0479150442144485,0.2341792451384895,0.0,0.0,0.0,0.6621940822250412,1.0,0.5064102564102564,,,0.0859481312374526
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,classical,0.735919,0.7716277722866802,0.2457055763718007,0.2734987871521236,0.3435115053220235,0.2028774627488171,0.2160423827040129,0.6621940822250412,0.899819249435116,0.6666666666666666,0.731078644688173,0.0532840021869449,0.0859481312374526
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),length_only,Length-only logistic regression,diagnostic_logistic_regression,0.5,0.5,0.003232463577578,0.2500152133922333,0.0,0.0,0.0,0.6621940822250412,1.3243881644500823,0.532051282051282,,,
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),repeat_only,Repeat-only logistic regression,diagnostic_logistic_regression,0.4995653130838233,0.5190996311204906,0.0270594345959404,0.2493385008421751,0.0,0.0,0.0,0.6621940822250412,1.3255405547220809,0.5448717948717948,,,
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,cnn,0.838548,0.8799774246317112,0.0795540403276681,0.1719178157550824,0.0891550555825233,0.1784351468086242,0.0648070573806762,0.6621940822250412,0.7896913262270511,0.4743589743589744,0.8347663557195247,0.0715169833078612,0.0859481312374526
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,cnn,0.8839299999999999,0.8870534128229995,0.0399395995624363,0.1393566969178189,0.0688883513212204,0.3199376463890075,0.1265183091163635,0.6621940822250412,0.7491476499553599,0.3846153846153846,0.8464727693559946,0.0621374896849732,0.0859481312374526
core,short_context,human,human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,foundation_model,0.8528062767459534,0.8894385357793013,0.0244592582419492,0.1538127081494769,0.0404262294153215,-0.0604816577373737,0.0015758352155724,0.7959149681512145,0.9332892942441527,0.5614035087719298,0.6643684261164545,0.208207050355126,0.08406132278119949
core,short_context,human,human_nontata_promoters,Promoters,cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,0.843540800552831,0.8788996222669625,0.0476340665381582,0.1565553534316248,0.0,0.0,0.0,0.7959149681512145,0.9435405704496996,0.3859649122807018,,,
