task_id,task_label,model_id,model_label,configuration,metric,value,before_or_after,official_AUROC,matched_negative_AUROC,ECE,Brier,RC_delta,intervention,source_file
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,ECE,0.1400642196733183,after,0.862033842128518,0.8111826504225587,0.1400642196733183,0.1746415730182761,0.0479880202772168,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,Brier,0.1538127081494769,before,0.8528062767459534,0.7930966698713839,0.0244592582419492,0.1538127081494769,0.0404262294153215,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,Brier,0.1746415730182761,after,0.862033842128518,0.8111826504225587,0.1400642196733183,0.1746415730182761,0.0479880202772168,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,RC_delta,0.0404262294153215,before,0.8528062767459534,0.7930966698713839,0.0244592582419492,0.1538127081494769,0.0404262294153215,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,RC_delta,0.0479880202772168,after,0.862033842128518,0.8111826504225587,0.1400642196733183,0.1746415730182761,0.0479880202772168,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,official_AUROC,0.832364,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,official_AUROC,0.8332256164636452,after,0.8332256164636452,0.7831313536155416,0.0194632762840244,0.1668996498707682,0.0652434820903101,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,matched_negative_AUROC,0.7831267930428194,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,matched_negative_AUROC,0.7831313536155416,after,0.8332256164636452,0.7831313536155416,0.0194632762840244,0.1668996498707682,0.0652434820903101,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,ECE,0.0177455895021824,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Temperature scaling,results/publication/table5_mitigation_summary.csv
